OPENADMET_CANONICAL_SMILES
CCNC(=O)C[C@@H]1N=C(C2=CC=C(Cl)C=C2)C2=CC(OC)=CC=C2N2C(C)=NN=C12
CCC(=O)C1=C(C)N(C2=CC=C(S(N)(=O)=O)C=C2)C(C2=CC=C(Cl)C=C2)=C1
CC[C@](C)(O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@](C)(O)CC[C@]4(C)[C@H]3CC[C@]12C
O=C1NC(CCCN2CC=C(C3=CC=C(F)C=C3)CC2)=NC2=C(Cl)C=CC=C12
COCCOC1=CN=C2C=CC([C@H](C)N3N=NC4=C3C(=O)N(C3=CC(C)=NS3)C=C4)=CC2=C1
CC1CCN(CC2=CC=C3N=C(NC(=O)NN=C(C4=CC=CC=N4)C4=CC=CC=N4)SC3=C2)CC1
CC1=CC(NC2=NC=C(Cl)C(NC3=CC=CC=C3S(=O)(=O)C(C)C)=N2)=C(OC(C)C)C=C1C1CCN(C(=O)CN(C)C)CC1
CC1=CC(NC2=NC3=NNC(C)=C3C(NC3=CC=CC=C3S(=O)(=O)C(C)C)=N2)=C(OC(C)C)C=C1C1CCN(C)CC1
CCNC(=O)NC1=CC=C(C2=NC3=C(CN(C4=CN=CC=N4)CC3)C(N3CCOC[C@@H]3C)=N2)C=C1
O=C1C(C2=CC=CC=C2)=CC(C2=CC=CC=C2)=CN1C1=CC=CC=C1
O=C(NC1=CN(CC2=CC=C(C(F)(F)F)C=C2C(F)(F)F)N=C1)C1=NOC(C2=CC=CC=N2)=C1
FC1=CC=C(C2=C(C3=CC=NC(NC4=CC=C(N5CCNCC5)C=C4)=N3)SC(N3CCOCC3)=N2)C=C1
NC1=CC=C(OC2=CC=C(S(=O)(=O)CC3CS3)C=C2)C=C1
O=C(O)CNC(=O)C1=NC=C(C#CCOC2=CC=C(Cl)C=C2)C=C1O
NC(=O)CN1CCN(CC2=NC(C3=CN(CC4CCOCC4)C4=C(Cl)C=CC=C34)=NO2)CC1
CNC(=O)NC1=CC=C2C(=C1)CC[C@]21NC(=O)N(CC(=O)N2CC3=CC(F)=CC=C3OC[C@H]2C(F)(F)F)C1=O
CCNC(=O)NC1=CC=C(C2=NC3=C(C[C@@H]4CC[C@H]3N4C)C(N3CCOC[C@@H]3C)=N2)C=C1
CC1=CC([C@H]2CC[C@H](C3=NN=C4C5CC5C5=CC(Cl)=CC=C5N43)CC2)=NO1
O=C(N[C@@H](CN1C=CN=C1)C1=CC=C(Cl)C=C1Cl)C1=CC=C(C2=NN=C(C3=CC=C(C4=CC=CC=N4)C=C3F)O2)C=C1
CCC(C)(NC(=O)C1=CC(F)=CC2=C1OC(C1=CC=C(Cl)C=C1)=C2)C(=O)O
CCN1CCC(N2CCC3=NC(NC4=NC=C(F)C(C5=CC(F)=C6N=C(C)N(C(C)C)C6=C5)=N4)=CC=C3C2)CC1
O=C1NC=NC2=C(N3C=C(CCN4CCC5(CCC6=CC=CC=C65)CC4)C=N3)N=CC=C12
NC1=NC=C(C2=CC(N3CCC(F)(F)C3)=NC(N3C[C@@H]4C[C@H]3CO4)=N2)N=C1OC(F)F
CC1=CC=C2N=C(C(=O)NCCC#N)C=C(NC3=CC=CC=C3F)C2=C1
