LOG_CLint_HLM,LOG_CLint_RLM,LOG_CLint_MLM
0.9332898363872896,0.4166405073382809,0.3170076359947513
0.5453071164658241,1.255272505103306,2.0077051143647804
-0.7818585318423221,0.734799829588847,1.461543544610252
2.07059193151204,3.092018470752797,3.5921767573958667
1.9924651478080435,2.204662511748219,2.4252406791001984
1.3422252293607904,1.5265977091034522,2.513790065019759
1.7309436934277358,1.577491799837225,2.2459442801693057
1.3469394626989906,1.7737864449811935,1.706675118700799
1.1760912590556811,1.6434526764861874,1.9030899869919435
-1.2786016244784948,-1.0287241512618948,-0.2370065182110804
1.390405156480081,1.8987251815894932,2.333094455888206
-0.3297541469258759,0.0261245167454502,0.2739730037695493
1.0,1.7781512503836436,2.011993114659257
0.498999363580153,1.114277296561586,1.1304945885234696
1.1473671077937864,1.334453751150931,1.671913012441587
1.0767860335080792,0.7466341989375788,1.80757561444166
1.146128035678238,1.3424226808222062,1.6989700043360187
-0.4546928835341759,0.255272505103306,1.0698530211136246
1.0746336182969043,1.609060549930087,1.494850021680094
1.5733358400660675,1.5563025007672873,2.084093460228235
1.0224283711854865,1.0334237554869496,1.5927317663939622
1.4608828150058273,1.5519376953648372,1.4677930297856625
0.5622928644564748,1.2201080880400552,1.380211241711606
1.670245853074124,2.0261245167454502,3.3621090924701007
0.8152455919165631,1.4162243170985684,1.6515202982342203
1.701654317325748,2.752202153176521,2.864573372930461
2.390405156480081,2.678518379040114,2.412275701935831
1.431797841638306,1.6188844849954505,1.9563437462861064
1.4661258704181992,2.179551791165188,2.2361844428801496
1.0463000196529693,1.4705574852172745,1.6798819421128623
2.134138842060031,3.3337293231565988,3.1915222731570774
0.1095785469043867,0.1583624920952496,0.437829806408219
2.1250907130826344,1.8785217955012063,2.506545618777679
1.8085485512404051,2.04766419460156,3.2097321075148613
1.2787536009528289,1.462397997898956,1.7634279935629371
3.68547301972276,3.348499570283838,3.61320735210376
0.9712758487381052,2.300595483889964,2.291701770729981
1.146128035678238,1.6334684555795864,1.8325089127062364
1.8846254632562345,2.788875115775417,2.7256421555144184
1.230448921378274,1.977723605288848,2.3096301674258988
0.7520484478194386,1.276461804173244,1.6324572921847242
-0.1609621266116942,0.1637575239819558,0.7858563647484238
1.52283531366053,2.7533302213245205,2.5228744023138034
-1.2613779720820577,-1.2643212740940954,-1.1301231867332335
2.790052821214746,3.0347607699664425,3.4522971600596453
0.9630082303291392,1.2802368096096894,1.0125208756695236
1.860577551244416,2.577491799837225,2.2361844428801496
1.499549625905149,1.7993405494535817,2.385123455892216
2.794913070772734,2.7338390006971496,3.287336965327531
1.7116385382323491,1.7737864449811935,1.5469742758332872
1.1363717234923232,1.255272505103306,1.479222491566444
3.7269984565021264,4.335792168737724,4.58357654786921
2.250420002308894,2.322219294733919,3.0
1.5010592622177514,0.8463371121298052,1.0976043288744108
3.49257741615644,3.718866907290306,4.062259245580976
2.6020599913279625,2.2218574354191367,2.740362689494244
1.9314070135565733,2.1357685145678222,2.8429024142057004
2.94382579875033,3.5148663839892547,3.872170554680983
1.9766708806248117,2.1126050015345745,3.16444059820265
1.40862997658628,1.9507541815935037,1.937124040079073
1.0413926851582251,1.6532125137753435,1.505149978319906
1.545307116465824,1.954242509439325,2.0551297642929183
1.515343893088381,1.8887409606828929,2.308735110028761
0.8530895298518656,1.3579348470004535,1.816241299991783
0.9380190974762104,0.7634279935629372,1.6967057809339172
1.431797841638306,1.6188844849954505,1.9563437462861064
